sku_id,description,analysis_weeks,positive_demand_weeks,zero_demand_week_pct,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,average_demand_interval_weeks,lag_1_autocorrelation,first_13_week_average,last_13_week_average,trend_slope_units_per_week,recent_vs_initial_13_week_change_pct
21980,PACK OF 12 RED RETROSPOT TISSUES,104,100,3.85,259.21,983.48,3.794,1.04,-0.016,258.08,138.92,-5.060,-46.17
21981,PACK OF 12 WOODLAND TISSUES,104,92,11.54,209.64,1046.56,4.992,1.13,0.049,42.15,70.62,-4.467,67.52
21982,PACK OF 12 SUKI TISSUES,104,92,11.54,307.49,1225.44,3.985,1.13,-0.008,0.85,128.00,-5.778,15027.27
21983,PACK OF 12 BLUE PAISLEY TISSUES,104,99,4.81,57.77,72.48,1.255,1.05,-0.090,97.38,56.38,-0.485,-42.10
21984,PACK OF 12 PINK PAISLEY TISSUES,104,100,3.85,203.57,1089.44,5.352,1.04,-0.005,88.46,67.46,-5.340,-23.74
21985,PACK OF 12 HEARTS DESIGN TISSUES,104,102,1.92,242.84,521.38,2.147,1.02,0.013,425.92,145.85,-3.438,-65.76
21986,PACK OF 12 PINK POLKADOT TISSUES,104,100,3.85,128.58,301.97,2.349,1.04,-0.024,179.46,47.69,-2.027,-73.42
21987,PACK OF 6 SKULL PAPER CUPS,104,98,5.77,61.19,103.61,1.693,1.06,-0.026,39.23,52.46,-0.427,33.73
21988,PACK OF 6 SKULL PAPER PLATES,104,99,4.81,75.01,135.04,1.800,1.05,-0.022,36.77,47.46,-0.747,29.08
21989,PACK OF 20 SKULL PAPER NAPKINS,104,99,4.81,81.03,136.11,1.680,1.05,0.076,45.54,38.31,-0.943,-15.88
21990,MODERN FLORAL STATIONERY SET,104,91,12.50,22.65,32.04,1.414,1.14,0.383,27.23,57.23,0.356,110.17
21991,BOHEMIAN COLLAGE STATIONERY SET,104,74,28.85,10.38,21.10,2.034,1.41,0.072,21.38,18.31,0.061,-14.39
21992,check,104,100,3.85,31.92,38.33,1.201,1.04,0.282,43.62,63.62,0.244,45.86
21993,FLORAL FOLK STATIONERY SET,104,94,9.62,26.49,34.78,1.313,1.11,0.507,33.77,67.08,0.413,98.63
22003,UNKNOWN,104,1,99.04,0.10,0.98,10.198,104.00,-0.010,0.77,0.00,-0.005,-100.00
22016,Dotcomgiftshop Gift Voucher £100.00,104,3,97.12,0.12,0.99,8.566,34.67,-0.014,0.08,0.00,-0.002,-100.00
22021,BLUE FELT EASTER EGG BASKET,104,30,71.15,13.59,31.47,2.316,3.47,0.829,48.15,0.00,-0.410,-100.00
22023,EMPIRE BIRTHDAY CARD,104,98,5.77,47.11,47.20,1.002,1.06,0.247,67.08,21.00,-0.688,-68.69
22024,RAINY LADIES BIRTHDAY CARD,104,95,8.65,50.80,43.54,0.857,1.09,0.104,61.08,45.54,-0.168,-25.44
22025,RING OF ROSES BIRTHDAY CARD,104,91,12.50,37.76,46.72,1.237,1.14,-0.034,38.38,33.46,-0.056,-12.83
22026,BANQUET BIRTHDAY CARD,104,97,6.73,38.32,40.86,1.066,1.07,0.038,42.92,31.31,-0.132,-27.06
22027,TEA PARTY BIRTHDAY CARD,104,101,2.88,107.17,72.37,0.675,1.03,0.159,127.46,106.08,-0.514,-16.78
22028,PENNY FARTHING BIRTHDAY CARD,104,93,10.58,60.24,47.18,0.783,1.12,0.196,62.38,68.08,0.120,9.12
22029,SPACEBOY BIRTHDAY CARD,104,101,2.88,165.17,106.00,0.642,1.03,0.011,131.77,180.00,-0.040,36.60
22030,SWALLOWS GREETING CARD,104,95,8.65,120.32,131.62,1.094,1.09,0.014,104.77,96.62,0.011,-7.78
22031,BOTANICAL LAVENDER BIRTHDAY CARD,104,65,37.50,10.34,12.62,1.221,1.60,0.132,10.46,6.85,-0.081,-34.56
22032,BOTANICAL LILY GREETING CARD,104,56,46.15,9.31,12.84,1.379,1.86,0.118,8.62,9.46,-0.049,9.82
22033,BOTANICAL ROSE GREETING CARD,104,58,44.23,15.30,19.06,1.246,1.79,0.328,32.08,0.08,-0.359,-99.76
22034,ROBIN CHRISTMAS CARD,104,23,77.88,14.86,45.96,3.094,4.52,0.662,13.08,0.15,-0.199,-98.82
22035,VINTAGE CARAVAN GREETING CARD,104,93,10.58,39.32,30.27,0.770,1.12,0.211,42.77,9.54,-0.339,-77.70
22036,DINOSAUR BIRTHDAY CARD,104,35,66.35,15.74,30.88,1.962,2.97,0.566,67.62,0.00,-0.651,-100.00
22037,ROBOT BIRTHDAY CARD,104,92,11.54,65.10,51.23,0.787,1.13,0.325,49.69,79.23,0.407,59.44
22038,BOTANICAL LAVENDER GIFT WRAP,104,37,64.42,10.82,16.98,1.570,2.81,0.007,15.38,9.62,-0.068,-37.50
22039,BOTANICAL LILY GIFT WRAP,104,23,77.88,8.17,19.22,2.352,4.52,0.079,1.92,13.46,-0.062,600.00
22040,BOTANICAL ROSE GIFT WRAP,104,60,42.31,26.83,46.97,1.751,1.73,0.070,40.38,9.62,-0.325,-76.19
22041,"RECORD FRAME 7"" SINGLE SIZE",104,99,4.81,68.52,62.29,0.909,1.05,-0.004,33.31,108.23,0.615,224.94
22042,CHRISTMAS CARD SINGING ANGEL,104,36,65.38,15.56,39.67,2.550,2.89,0.516,14.00,14.85,-0.053,6.04
22043,CHRISTMAS CARD SCREEN PRINT,104,39,62.50,21.07,41.98,1.993,2.67,0.692,2.77,84.15,0.486,2938.89
22044,CHRISTMAS CARD STACK OF PRESENTS,104,26,75.00,18.60,47.31,2.544,4.00,0.728,10.31,49.85,0.199,383.58
22045,SPACEBOY GIFT WRAP,104,97,6.73,138.38,111.11,0.803,1.07,0.208,117.31,188.46,0.144,60.66
22046,TEA PARTY WRAPPING PAPER,104,89,14.42,60.10,59.58,0.991,1.17,0.213,75.00,50.00,-0.312,-33.33
22047,EMPIRE GIFT WRAP,104,88,15.38,75.72,84.65,1.118,1.18,0.142,92.31,82.69,-0.331,-10.42
22048,BIRTHDAY BANQUET GIFT WRAP,104,63,39.42,26.35,32.59,1.237,1.65,0.072,44.23,17.31,-0.270,-60.87
22049,WRAP CHRISTMAS SCREEN PRINT,104,26,75.00,31.97,74.35,2.325,4.00,0.703,9.62,51.92,0.113,440.00
22050,PINK PAISLEY ROSE GIFT WRAP,104,68,34.62,31.49,38.00,1.207,1.53,-0.093,40.38,25.00,-0.187,-38.10
22051,BLUE SCANDINAVIAN PAISLEY WRAP,104,67,35.58,30.05,35.08,1.167,1.55,-0.067,51.92,17.31,-0.392,-66.67
22052,VINTAGE CARAVAN GIFT WRAP,104,55,47.12,33.41,42.73,1.279,1.89,0.343,40.38,0.00,-0.610,-100.00
22053,EMPIRE DESIGN ROSETTE,104,52,50.00,43.73,388.53,8.885,2.00,0.016,8.46,2.38,0.437,-71.82
22054,MINI CAKE STAND HANGING HEARTS,104,13,87.50,3.28,12.02,3.665,8.00,0.496,26.15,0.00,-0.166,-100.00
22055,MINI CAKE STAND HANGING STRAWBERY,104,97,6.73,44.46,47.84,1.076,1.07,0.244,57.31,20.46,-0.658,-64.30
22056,CERAMIC PLATE LOVE HEART DESIGN,104,18,82.69,5.84,29.77,5.101,5.78,-0.028,7.23,0.00,-0.177,-100.00
22057,CERAMIC PLATE STRAWBERRY DESIGN,104,79,24.04,27.74,52.93,1.908,1.32,0.089,37.92,9.77,-0.567,-74.24
22058,CERAMIC LOVE HEARTS DESIGN MUG,104,34,67.31,6.75,23.58,3.493,3.06,0.432,41.62,0.00,-0.283,-100.00
22059,CERAMIC STRAWBERRY DESIGN MUG,104,97,6.73,42.18,62.14,1.473,1.07,0.050,72.08,16.38,-0.585,-77.27
22060,LARGE CAKE STAND HANGING HEARTS,104,63,39.42,7.00,15.58,2.225,1.65,0.035,8.31,0.00,-0.125,-100.00
22061,LARGE CAKE STAND HANGING STRAWBERY,104,97,6.73,19.08,25.48,1.336,1.07,0.174,24.92,9.92,-0.359,-60.19
22062,UNKNOWN,104,67,35.58,8.01,16.18,2.020,1.55,0.123,3.69,10.85,0.119,193.75
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,104,93,10.58,20.15,32.27,1.601,1.12,0.113,42.00,4.92,-0.444,-88.28
22064,PINK DOUGHNUT TRINKET POT,104,101,2.88,57.99,71.38,1.231,1.03,0.229,124.23,28.62,-1.067,-76.97
22065,CHRISTMAS PUDDING TRINKET POT,104,58,44.23,78.05,218.87,2.804,1.79,0.435,20.62,467.23,2.735,2166.42
22066,LOVE HEART TRINKET POT,104,84,19.23,32.77,45.07,1.375,1.24,0.223,53.92,63.31,0.307,17.40
22067,CHOC TRUFFLE GOLD TRINKET POT,104,92,11.54,17.29,26.82,1.551,1.13,0.020,34.15,7.77,-0.302,-77.25
22068,BLACK PIRATE TREASURE CHEST,104,94,9.62,8.84,10.56,1.195,1.11,0.129,7.38,12.46,-0.009,68.75
22069,BROWN PIRATE TREASURE CHEST,104,87,16.35,7.98,9.13,1.144,1.20,0.293,4.85,10.69,-0.030,120.63
22070,SMALL RED RETROSPOT MUG IN BOX,104,85,18.27,17.11,31.39,1.835,1.22,0.530,16.54,49.31,0.192,198.14
22071,SMALL WHITE RETROSPOT MUG IN BOX,104,80,23.08,14.19,30.18,2.126,1.30,0.571,15.62,46.31,0.126,196.55
22072,RED RETROSPOT TEA CUP AND SAUCER,104,96,7.69,21.49,25.23,1.174,1.08,0.068,44.62,12.54,-0.295,-71.90
22073,RED RETROSPOT STORAGE JAR,104,70,32.69,20.20,21.10,1.044,1.49,0.515,36.85,0.00,-0.485,-100.00
22074,6 RIBBONS SHIMMERING PINKS,104,85,18.27,19.10,42.49,2.225,1.22,0.186,7.62,19.31,0.029,153.54
22075,6 RIBBONS ELEGANT CHRISTMAS,104,66,36.54,24.92,47.53,1.907,1.58,0.430,18.62,59.69,0.212,220.66
22076,6 RIBBONS EMPIRE,104,96,7.69,19.56,24.39,1.247,1.08,0.074,20.77,34.38,0.044,65.56
22077,6 RIBBONS RUSTIC CHARM,104,93,10.58,164.06,117.02,0.713,1.12,0.590,2.46,270.23,1.429,10878.12
22078,RIBBON REEL LACE DESIGN,104,87,16.35,36.72,46.96,1.279,1.20,0.160,30.92,37.23,-0.195,20.40
22079,RIBBON REEL HEARTS DESIGN,104,102,1.92,47.45,43.79,0.923,1.02,0.116,75.15,47.46,-0.339,-36.85
22080,RIBBON REEL POLKADOTS,104,79,24.04,39.38,48.48,1.231,1.32,0.118,55.15,48.23,-0.335,-12.55
22081,RIBBON REEL FLORA + FAUNA,104,93,10.58,14.53,13.31,0.916,1.12,0.213,12.31,17.77,-0.014,44.38
22082,RIBBON REEL STRIPES DESIGN,104,102,1.92,67.10,56.94,0.849,1.02,0.460,51.15,77.54,-0.129,51.58
22083,PAPER CHAIN KIT RETROSPOT,104,102,1.92,125.00,109.55,0.876,1.02,0.057,153.85,104.54,-1.117,-32.05
22084,PAPER CHAIN KIT EMPIRE,104,93,10.58,84.24,142.74,1.694,1.12,0.721,99.54,1.54,-0.153,-98.45
22085,PAPER CHAIN KIT SKULLS,104,91,12.50,24.11,70.23,2.913,1.14,-0.027,10.92,7.00,-0.403,-35.92
22086,PAPER CHAIN KIT 50'S CHRISTMAS,104,82,21.15,303.48,524.93,1.730,1.27,0.866,102.23,1073.46,5.978,950.04
22087,PAPER BUNTING WHITE LACE,104,76,26.92,80.85,97.77,1.209,1.37,0.606,43.38,45.08,-0.211,3.90
22088,UNKNOWN,104,80,23.08,41.64,49.14,1.180,1.30,0.348,39.08,0.00,-0.288,-100.00
22089,PAPER BUNTING VINTAGE PAISLEY,104,98,5.77,33.83,34.79,1.029,1.06,0.154,45.77,19.23,-0.212,-57.98
22090,PAPER BUNTING RETROSPOT,104,102,1.92,159.30,125.52,0.788,1.02,0.264,125.85,72.23,-0.421,-42.60
22091,EMPIRE TISSUE BOX,104,86,17.31,29.94,56.25,1.879,1.21,0.144,44.46,84.38,0.414,89.79
22092,BLUE PAISLEY TISSUE BOX,104,59,43.27,8.94,15.95,1.784,1.76,0.401,6.31,24.77,0.196,292.68
22093,MOTORING TISSUE BOX,104,74,28.85,21.73,48.42,2.228,1.41,0.292,8.23,78.23,0.603,850.47
22094,RED RETROSPOT TISSUE BOX,104,91,12.50,34.08,73.77,2.165,1.14,0.127,17.77,100.77,0.509,467.10
22095,LADS ONLY TISSUE BOX,104,74,28.85,26.19,56.12,2.143,1.41,0.161,34.77,62.38,0.232,79.42
22096,PINK PAISLEY SQUARE TISSUE BOX,104,67,35.58,13.85,47.94,3.463,1.55,0.259,5.31,70.77,0.406,1233.33
22097,SWALLOW SQUARE TISSUE BOX,104,86,17.31,17.66,46.91,2.656,1.21,0.197,10.85,56.85,0.444,424.11
22098,BOUDOIR SQUARE TISSUE BOX,104,90,13.46,27.38,59.96,2.190,1.16,0.048,19.92,101.69,0.635,410.42
22099,CARAVAN SQUARE TISSUE BOX,104,89,14.42,20.04,40.95,2.044,1.17,0.045,6.85,56.54,0.411,725.84
22100,SKULLS SQUARE TISSUE BOX,104,61,41.35,8.56,21.95,2.565,1.70,0.167,4.00,24.31,0.216,507.69
22101,MIRROR MOSAIC VOTIVE HOLDER,104,62,40.38,17.86,66.80,3.741,1.68,0.049,2.77,66.38,0.487,2297.22
22102,MIRROR MOSAIC T-LIGHT HOLDER,104,43,58.65,17.57,146.83,8.358,2.42,-0.009,3.85,117.69,0.727,2960.00
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,104,50,51.92,16.73,95.89,5.731,2.08,-0.007,6.23,76.31,0.429,1124.69
22104,MIRROR MOSAIC CANDLE PLATE,104,64,38.46,11.31,57.72,5.104,1.62,0.112,5.08,6.54,-0.031,28.79
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,104,39,62.50,6.62,47.13,7.114,2.67,-0.018,4.69,38.38,0.225,718.03
22106,MIRROR MOSAIC HURRICANE LAMP,104,50,51.92,4.85,24.47,5.050,2.08,-0.012,2.77,20.69,0.120,647.22
22107,PIZZA PLATE IN BOX,104,86,17.31,10.51,13.50,1.285,1.21,0.553,18.92,23.69,-0.009,25.20
22108,PING! MICROWAVE PLATE,104,57,45.19,2.68,4.40,1.641,1.82,0.150,1.46,4.38,0.002,200.00
22109,FULL ENGLISH BREAKFAST PLATE,104,101,2.88,29.87,35.34,1.183,1.03,0.346,37.08,44.77,0.039,20.75
22110,BIRD HOUSE HOT WATER BOTTLE,104,87,16.35,24.33,38.86,1.597,1.20,0.397,57.31,40.77,-0.120,-28.86
22111,SCOTTIE DOG HOT WATER BOTTLE,104,99,4.81,87.80,135.88,1.548,1.05,0.620,130.15,199.46,0.317,53.25
22112,CHOCOLATE HOT WATER BOTTLE,104,102,1.92,100.47,132.32,1.317,1.02,0.802,93.31,259.77,1.044,178.40
22113,GREY HEART HOT WATER BOTTLE,104,64,38.46,52.99,83.13,1.569,1.62,0.633,37.54,132.54,0.603,253.07
22114,HOT WATER BOTTLE TEA AND SYMPATHY,104,76,26.92,104.80,154.92,1.478,1.37,0.746,131.69,301.08,0.719,128.62
22115,METAL SIGN EMPIRE TEA,104,99,4.81,26.75,44.18,1.652,1.05,0.131,41.00,53.23,0.118,29.83
22116,METAL SIGN HIS DINNER IS SERVED,104,75,27.88,7.67,16.07,2.094,1.39,0.215,13.46,16.46,0.091,22.29
22117,METAL SIGN HER DINNER IS SERVED,104,83,20.19,18.47,79.25,4.291,1.25,-0.018,9.77,76.77,0.458,685.83
22118,JOY WOODEN BLOCK LETTERS,104,70,32.69,6.76,20.56,3.042,1.49,0.133,4.00,7.23,-0.032,80.77
22119,PEACE WOODEN BLOCK LETTERS,104,81,22.12,7.42,10.33,1.392,1.28,0.562,7.77,9.77,-0.015,25.74
22120,WELCOME WOODEN BLOCK LETTERS,104,79,24.04,9.52,9.51,0.999,1.32,0.308,8.62,9.85,0.050,14.29
22121,NOEL WOODEN BLOCK LETTERS,104,55,47.12,13.64,30.48,2.234,1.89,0.502,6.08,17.31,0.014,184.81
22122,SET OF 2 FANCY FONT TEA TOWELS,104,35,66.35,10.66,27.39,2.569,2.97,0.232,42.77,0.00,-0.438,-100.00
22123,PING MICROWAVE APRON,104,73,29.81,5.40,8.49,1.570,1.42,0.171,2.08,12.92,0.119,522.22
22124,SET OF 2 TEA TOWELS PING MICROWAVE,104,66,36.54,2.39,3.94,1.646,1.58,-0.108,2.92,3.46,-0.006,18.42
22125,UNKNOWN,104,16,84.62,5.51,21.85,3.965,6.50,0.671,38.08,1.00,-0.276,-97.37
22127,PARTY CONES CARNIVAL ASSORTED,104,57,45.19,32.77,74.22,2.265,1.82,0.165,72.08,0.00,-0.873,-100.00
22128,PARTY CONES CANDY ASSORTED,104,77,25.96,37.43,53.65,1.433,1.35,-0.082,63.92,39.31,-0.230,-38.51
22129,PARTY CONES CANDY DECORATION,104,70,32.69,29.65,51.88,1.749,1.49,-0.029,49.08,32.15,-0.289,-34.48
22130,PARTY CONE CHRISTMAS DECORATION,104,62,40.38,89.79,212.98,2.372,1.68,0.660,23.85,122.77,0.229,414.84
22131,FOOD CONTAINER SET 3 LOVE HEART,104,101,2.88,48.35,63.28,1.309,1.03,-0.070,82.46,44.77,-0.294,-45.71
22132,RED LOVE HEART SHAPE CUP,104,97,6.73,31.54,42.94,1.362,1.07,0.248,64.23,24.85,-0.398,-61.32
22133,PINK LOVE HEART SHAPE CUP,104,98,5.77,23.27,30.22,1.299,1.06,0.236,39.38,18.69,-0.259,-52.54
22134,MINI LADLE LOVE HEART RED,104,94,9.62,19.25,45.65,2.371,1.11,0.039,49.92,8.77,-0.360,-82.43
22135,MINI LADLE LOVE HEART PINK,104,94,9.62,15.17,31.88,2.101,1.11,0.055,24.46,12.62,-0.193,-48.43
22136,LOVE HEART SOCK HANGER,104,86,17.31,19.07,34.95,1.833,1.21,0.444,43.62,1.38,-0.395,-96.83
22137,BATHROOM SET LOVE HEART DESIGN,104,32,69.23,5.83,42.38,7.273,3.25,-0.017,3.38,0.00,-0.183,-100.00
22138,BAKING SET 9 PIECE RETROSPOT,104,97,6.73,86.26,79.41,0.921,1.07,0.455,87.85,202.77,0.502,130.82
22139,RETROSPOT TEA SET CERAMIC 11 PC,104,99,4.81,98.13,79.50,0.810,1.05,0.386,45.46,138.23,0.236,204.06
22141,CHRISTMAS CRAFT TREE TOP ANGEL,104,39,62.50,34.33,78.48,2.286,2.67,0.710,1.46,167.77,1.146,11378.95
22142,CHRISTMAS CRAFT WHITE FAIRY,104,40,61.54,39.43,87.31,2.214,2.60,0.809,6.23,216.31,1.390,3371.60
22143,CHRISTMAS CRAFT HEART DECORATIONS,104,25,75.96,4.17,16.81,4.028,4.16,0.348,3.31,0.00,-0.084,-100.00
22144,CHRISTMAS CRAFT LITTLE FRIENDS,104,48,53.85,47.52,100.77,2.121,2.17,0.855,4.15,242.31,1.653,5733.33
22145,UNKNOWN,104,29,72.12,11.74,31.74,2.704,3.59,0.716,5.62,0.00,-0.155,-100.00
22146,EASTER CRAFT IVY WREATH WITH CHICK,104,19,81.73,14.26,60.35,4.232,5.47,0.339,102.00,0.00,-0.666,-100.00
22147,FELTCRAFT BUTTERFLY HEARTS,104,101,2.88,121.35,167.02,1.376,1.03,0.393,120.46,224.69,0.416,86.53
22148,EASTER CRAFT 4 CHICKS,104,49,52.88,31.08,67.61,2.176,2.12,0.551,91.08,3.31,-0.313,-96.37
22149,check,104,98,5.77,118.90,141.66,1.191,1.06,0.384,79.69,187.54,0.611,135.33
22150,3 STRIPEY MICE FELTCRAFT,104,101,2.88,72.47,100.60,1.388,1.03,0.057,38.15,82.23,-0.171,115.52
22151,PLACE SETTING WHITE HEART,104,102,1.92,261.68,225.46,0.862,1.02,0.170,93.08,188.15,1.583,102.15
22152,PLACE SETTING WHITE STAR,104,73,29.81,58.99,117.76,1.996,1.42,0.260,9.00,112.77,0.437,1152.99
22153,ANGEL DECORATION STARS ON DRESS,104,56,46.15,51.35,83.69,1.630,1.86,0.577,19.92,144.85,0.653,627.03
22154,ANGEL DECORATION 3 BUTTONS,104,55,47.12,65.97,125.13,1.897,1.89,0.604,3.08,159.46,0.905,5082.50
22155,STAR DECORATION RUSTIC,104,59,43.27,54.51,96.67,1.774,1.76,0.617,35.38,132.15,0.428,273.48
22156,HEART DECORATION WITH PEARLS,104,102,1.92,57.36,58.78,1.025,1.02,0.423,44.46,47.85,-0.123,7.61
22157,ANGEL DECORATION WITH LACE PADDED,104,27,74.04,15.72,37.33,2.375,3.85,0.486,9.38,0.00,-0.126,-100.00
22158,3 HEARTS HANGING DECORATION RUSTIC,104,73,29.81,85.46,157.57,1.844,1.42,0.703,1.00,177.23,0.905,17623.08
22161,HEART DECORATION RUSTIC HANGING,104,91,12.50,63.99,97.16,1.518,1.14,0.487,3.54,188.77,1.646,5234.78
22162,HEART GARLAND RUSTIC PADDED,104,67,35.58,11.61,25.05,2.159,1.55,0.518,8.46,2.92,-0.090,-65.45
22163,HEART STRING MEMO HOLDER HANGING,104,63,39.42,11.53,24.52,2.126,1.65,0.701,3.46,58.92,0.310,1602.22
22164,STRING OF STARS CARD HOLDER,104,30,71.15,3.00,7.88,2.625,3.47,0.302,2.15,3.77,-0.005,75.00
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",104,86,17.31,7.44,20.50,2.755,1.21,0.120,5.46,4.23,-0.035,-22.54
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,104,78,25.00,3.22,9.83,3.052,1.33,-0.007,1.85,2.08,-0.016,12.50
22167,OVAL WALL MIRROR DIAMANTE,104,92,11.54,6.54,14.33,2.192,1.13,0.063,4.54,2.92,-0.021,-35.59
22168,ORGANISER WOOD ANTIQUE WHITE,104,66,36.54,6.40,10.06,1.570,1.58,0.257,6.77,0.00,-0.107,-100.00
22169,FAMILY ALBUM WHITE PICTURE FRAME,104,97,6.73,21.20,18.36,0.866,1.07,0.159,7.85,34.54,0.112,340.20
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,104,95,8.65,22.27,24.46,1.098,1.09,-0.025,11.77,27.31,0.015,132.03
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,104,99,4.81,32.15,56.83,1.767,1.05,0.103,7.08,12.54,0.201,77.17
22172,METAL SHELF WITH RAIL,104,33,68.27,3.54,7.17,2.025,3.15,0.595,6.31,0.00,-0.127,-100.00
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,104,82,21.15,47.74,53.14,1.113,1.27,0.121,72.15,52.54,0.055,-27.19
22174,PHOTO CUBE,104,89,14.42,48.28,101.39,2.100,1.17,0.292,0.69,62.08,0.420,8866.67
22175,PINK OWL SOFT TOY,104,95,8.65,16.88,27.94,1.655,1.09,0.048,20.77,37.62,0.049,81.11
22176,amazon,104,89,14.42,11.28,18.46,1.637,1.17,-0.019,18.46,14.77,-0.038,-20.00
22177,5 HOOK BLACKBOARD ORGANISER,104,22,78.85,3.03,12.28,4.055,4.73,0.178,8.92,0.00,-0.127,-100.00
22178,VICTORIAN GLASS HANGING T-LIGHT,104,102,1.92,376.88,302.39,0.802,1.02,0.198,130.31,496.38,3.855,280.93
22179,SET 10 NIGHT OWL LIGHTS,104,98,5.77,18.62,17.62,0.947,1.06,0.137,16.77,25.62,0.020,52.75
22180,RETROSPOT LAMP,104,96,7.69,9.13,7.43,0.813,1.08,0.310,11.85,6.00,-0.090,-49.35
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,104,61,41.35,14.40,27.71,1.924,1.70,-0.016,13.92,16.23,-0.021,16.57
22182,CAKE STAND VICTORIAN FILIGREE SMALL,104,67,35.58,4.78,7.77,1.625,1.55,0.310,0.92,7.15,0.078,675.00
22183,CAKE STAND VICTORIAN FILIGREE MED,104,60,42.31,5.56,7.95,1.430,1.73,0.588,3.77,0.08,-0.006,-97.96
22184,CAKE STAND VICTORIAN FILIGREE LARGE,104,46,55.77,3.70,8.18,2.209,2.26,0.664,3.92,0.00,-0.051,-100.00
22185,SLATE TILE NATURAL HANGING,104,95,8.65,34.16,30.89,0.904,1.09,0.236,43.69,29.08,-0.333,-33.45
22186,RED STAR CARD HOLDER,104,51,50.96,18.38,33.52,1.823,2.04,0.699,5.00,60.15,0.265,1103.08
22187,GREEN CHRISTMAS TREE CARD HOLDER,104,45,56.73,19.74,38.99,1.975,2.31,0.776,10.23,88.46,0.456,764.66
22188,BLACK HEART CARD HOLDER,104,97,6.73,96.88,246.92,2.549,1.07,-0.065,36.77,32.92,-0.381,-10.46
22189,CREAM HEART CARD HOLDER,104,94,9.62,149.19,259.18,1.737,1.11,-0.030,117.92,95.38,-0.218,-19.11
22190,LOCAL CAFE MUG,104,77,25.96,11.87,19.39,1.634,1.35,0.118,8.54,9.85,-0.030,15.32
22191,IVORY DINER WALL CLOCK,104,85,18.27,18.70,36.64,1.959,1.22,0.243,13.69,26.15,0.324,91.01
22192,BLUE DINER WALL CLOCK,104,84,19.23,13.41,12.21,0.910,1.24,0.375,11.92,21.62,0.159,81.29
22193,RED DINER WALL CLOCK,104,77,25.96,17.93,21.75,1.213,1.35,0.437,19.85,46.15,0.319,132.56
22194,UNKNOWN,104,70,32.69,3.52,5.54,1.574,1.49,0.136,5.54,0.00,-0.075,-100.00
22195,LARGE HEART MEASURING SPOONS,104,100,3.85,46.32,40.42,0.873,1.04,0.285,75.54,50.62,-0.321,-32.99
22196,SMALL HEART MEASURING SPOONS,104,102,1.92,60.92,50.34,0.826,1.02,0.189,79.00,80.23,-0.156,1.56
22197,POPCORN HOLDER,104,102,1.92,806.35,904.23,1.121,1.02,0.448,284.77,1809.23,13.021,535.33
22198,LARGE POPCORN HOLDER,104,59,43.27,68.29,98.69,1.445,1.76,0.724,52.31,0.00,-1.227,-100.00
22199,FRYING PAN RED RETROSPOT,104,95,8.65,16.45,37.16,2.258,1.09,0.439,22.00,7.85,-0.278,-64.34
22200,FRYING PAN PINK POLKADOT,104,92,11.54,11.21,14.66,1.307,1.13,0.075,15.69,8.77,-0.098,-44.12
22201,FRYING PAN BLUE POLKADOT,104,71,31.73,4.56,14.70,3.225,1.46,0.010,2.69,3.31,-0.033,22.86
22202,UNKNOWN,104,63,39.42,10.18,18.66,1.832,1.65,0.240,22.38,0.00,-0.260,-100.00
22203,MILK PAN RED RETROSPOT,104,96,7.69,12.67,27.48,2.169,1.08,-0.034,22.38,5.69,-0.225,-74.57
22204,MILK PAN BLUE POLKADOT,104,70,32.69,4.89,14.67,2.998,1.49,-0.009,3.54,1.54,-0.051,-56.52
22206,"MUG , DOTCOMGIFTSHOP.COM",104,9,91.35,0.13,0.54,4.017,11.56,-0.063,0.00,0.08,0.000,
22207,FRYING PAN UNION FLAG,104,98,5.77,28.57,45.49,1.592,1.06,0.067,25.15,36.54,-0.029,45.26
22208,WOOD STAMP SET THANK YOU,104,87,16.35,22.34,26.60,1.191,1.20,0.519,19.23,49.23,0.323,156.00
22209,WOOD STAMP SET HAPPY BIRTHDAY,104,83,20.19,12.61,13.73,1.089,1.25,0.420,10.46,18.69,0.133,78.68
22210,WOOD STAMP SET BEST WISHES,104,79,24.04,14.24,27.22,1.912,1.32,0.148,12.31,42.08,0.213,241.88
22211,WOOD STAMP SET FLOWERS,104,85,18.27,14.25,16.21,1.138,1.22,0.375,12.46,29.31,0.189,135.19
22212,FOUR HOOK WHITE LOVEBIRDS,104,102,1.92,37.76,36.66,0.971,1.02,0.061,33.46,28.62,-0.188,-14.48
22213,UNKNOWN,104,1,99.04,0.01,0.10,10.198,104.00,-0.010,0.08,0.00,-0.001,-100.00
22214,CANDLE PLATE LACE WHITE,104,50,51.92,4.97,12.40,2.494,2.08,-0.022,12.15,0.54,-0.093,-95.57
22215,CAKE STAND WHITE TWO TIER LACE,104,93,10.58,9.21,9.12,0.990,1.12,0.238,14.38,5.92,-0.143,-58.82
